Lab,ComputerName,SerialNumber,MAC,Owner,BusinessJustification
ANATOMY,SN:RN1143YWKLB,RN1143YWKLB,MAC:00:30:65:F4:6F:2E,Anatomy,
ANATOMY,SN:XB23305SMMA,XB23305SMMA,MAC:00:03:93:D7:6B:26,Anatomy,
ANATOMY,SN:XB23803SMXD,XB23803SMXD,MAC:00:03:93:AC:9E:66,Anatomy,
ANATOMY,SN:D5JNG41,D5JNG41,MAC:00:0D:56:92:45:63,Anatomy,
ANATOMY,CN:ADMIN’S MAC MINI,C07NP50DG1HV,MAC:98:5A:EB:DD:31:E0,Anatomy,
ANATOMY,CN:MACBOOKPRO,G880541UXYL,MAC:00:1D:4F:47:36:C0,Anatomy,
ANATOMY,CN:ADMIN’S IMAC,C02Q13Z3F8J2,MAC:98:5A:EB:DD:31:E0,Anatomy,
ANDEREGG,CN:F-AND-ASB533-X-DELL-HYDROLICS,4QF1V91,,Anderegg,
ANDEREGG,CN:F-AND-ASB510-X-FIELD-LAPTOP,7ITSA20809,,Anderegg,
ANDEREGG,CN:F-AND-ASB510-X-T-LENGYEL-IMAC2015,C02QJ6U1GG7N,MAC:38:C9:86:0E:79:76,Anderegg,
ANDEREGG,CN:F-AND-ASB510-X-MM2010,C07CX03WDD6L,,Anderegg,
ANDEREGG,CN:F-AND-ASB510-X-COMPAQ-NC6230,CNU6100ZF9,MAC:00:16:6F:39:F6:68,Anderegg,
ANDEREGG,CN:F-AND-ASB533-X-COMPAQ-HYDROLICS-NC6120,CNU523359K,MAC:E2:7A:D0:FA:AD:B4,Anderegg,
ANDEREGG,CN:F-AND-ASB510-X-ACER-MICROSCOPE,LUS570B146911169021601,,Anderegg,
BABST,CN:F-BAB-CSC32-X-OLYMPUS-MICROSCOPE,2UA72027NV,MAC:A0:8C:FD:E1:DE:EC,Babst,
BABST,CN:F-BAB-CSC31-X-HPLC,4099479-0001,MAC:00:13:20:B2:2E:46,Babst,
BABST,CN:F-BAB-CSC31-X-DELL-OXYGEN,FSMW011,MAC:00:06:5B:50:4F:6E,Babst,
BABST,SN:4HJHTK1,4HJHTK1,,Babst,
BLAIR,CN:F-BLA-ASB370A-X-IMAC2015,C02SY1GMGG7L,MAC:38:C9:86:53:83:FE,Blair,
BLAIR,CN:F-BLA-ASB370A-X-MBP2015,CO2RWFJPG8WN,MAC:98:01:A7:A4:3E:CB,Blair,
BLAIR,CN:F-BLA-ASB370-X-IMAC2007,QP70419TVUW,MAC:00:17:F2:CC:43:A3,Blair,
BLAIR,CN:F-BLA-ASB370-X-IMAC2009,W89471125PC,MAC:00:26:BB:55:C1:5A,Blair,
CARON,NT:LASER CONTROLLER,,,Caron,
CARRIER,MD:POWERMACS,,,Carrier,
CASJENS,SN:C02PJ0DZG3QP,C02PJ0DZG3QP,,Casjens,
CASJENS,SN:C0PJ07YGFWL,C0PJ07YGFWL,,Casjens,
CLARK,"NT:DUAL BOOT MAC/WINDOWS 7, RUNS LED CAMERA SYSTEM ON A HIGH-END MICROSCOPE. NOT ON THE INTERNET.",,,Clark,
CLAYTON,CN:F-CLY-ASB585-X-DELL-MICROSCOPE,HTW2BP1,,Clayton,
FARMER,CN:F-FAR-BIOL211-X-DELL-XP-SLICER,1XFBY01,,Farmer,
GOLDENBERG,CN:F-GLD-CSC31-X-MICROCALORIMETER,1428004,,Goldenberg,
HEEJIN YOO,SN:CZC1387CTZ/N00932Z OR MXL1494HGB/N009329,CZC1387CTZ/N00932Z or MXL1494HGB/N009329,,Heejin Yoo,
HEEJIN YOO,SN:CZC1387CTZ/N00932Z OR MXL1494HGB/N009329,CZC1387CTZ/N00932Z or MXL1494HGB/N009329,,Heejin Yoo,
HORVATH,CN:F-HOR-ASB357-X-HP-FPLC,3CR22602B8,MAC:4C:72:B9:2F:62:65,Horvath,
HORVATH,CN:F-HOR-ASB440-X-DELL-NANODROP,5N75Q61,MAC:00:12:3F:16:C5:BC,Horvath,
HORVATH,CN:F-HOR-ASB440-X-HP-HPLC,MXK3400GWM NA300,MAC:22:4A:4D:2D:35:68,Horvath,
HORVATH,MD:BECKMAN INSTRUMENTS DU SERIES 600 SPECTROPHOTOMETER,,,Horvath,
HORVATH,"MD:STARWEST LAPTOP, WINDOWS XP",,,Horvath,
HORVATH,MD:LINUX PC,,,Horvath,
HORVATH,MD:PC XRAY,,,Horvath,
HUGHES,CN:F-HUG-BIOL217-X-DELL-PCR,3BT9DX1,,Hughes,
HUGHES,CN:F-HUG-BIOL212A-X-DELL-LICOR,11D93M1,,Hughes,
MCINTOSH,CN:F-MCI-BIOL115F-X-DELL-HPLC,8MPTT21,MAC:00:0B:DB:2C:36:EF,Mcintosh,
MCINTOSH,CN:F-MCI-BIOL116D-X-AMD-HPLC,2005100503,MAC:00:13:8F:42:D5:6A,Mcintosh,
MCINTOSH,CN:F-MCI-BIOL116D-X-DELL-WATERS600,DD38V21,,Mcintosh,
MCINTOSH,CN:F-MCI-BIOL116D-X-LENOVO-MICROSCOPE1,MJ02HVA1,MAC:6C:0B:84:41:9C:67,Mcintosh,
MCINTOSH,CN:F-MCI-BIOL116D-X-LENOVO-MICROSCOPE2,MJ02HVB2,MAC:6C:0B:84:42:3F:B8,Mcintosh,
